kinopoiskId,nameRu,nameEn,nameOriginal,countries,genres,ratingKinopoisk,ratingImbd,year,type,posterUrl,posterUrlPreview,userRating
505898,tt1630029,Аватар: Путь воды,,Avatar: The Way of Water,[{'country': 'США'}],"[{'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'боевик'}, {'genre': 'фэнтези'}]",7.8,7.6,2022,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/505898.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/505898.jpg,6
6374,tt0338751,Авиатор,,The Aviator,"[{'country': 'США'}, {'country': 'Германия'}]","[{'genre': 'драма'}, {'genre': 'биография'}]",7.6,7.5,2004,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/6374.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/6374.jpg,6
1209850,tt9253284,Андор,,Andor,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'драма'}, {'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'боевик'}]",8.1,8.4,2022,TV_SERIES,https://kinopoiskapiunofficial.tech/images/posters/kp/1209850.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1209850.jpg,9
425,tt0050976,Седьмая печать,,Det sjunde inseglet,[{'country': 'Швеция'}],"[{'genre': 'драма'}, {'genre': 'фэнтези'}]",8.1,8.1,1957,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/425.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/425.jpg,8
1199773,tt9114286,Чёрная Пантера: Ваканда навеки,,Black Panther: Wakanda Forever,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'фантастика'}, {'genre': 'боевик'}]",6.2,6.7,2022,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1199773.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1199773.jpg,4
1009142,tt6467266,Зверопой 2,,Sing 2,"[{'country': 'США'}, {'country': 'Япония'}]","[{'genre': 'приключения'}, {'genre': 'комедия'}, {'genre': 'мультфильм'}, {'genre': 'семейный'}, {'genre': 'мюзикл'}]",8.3,7.4,2021,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1009142.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1009142.jpg,6
8136,tt0117438,Выкуп,,Ransom,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'криминал'}, {'genre': 'боевик'}]",7.4,6.7,1996,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/8136.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/8136.jpg,6
5942,tt0093748,"Самолетом, поездом, машиной",,"Planes, Trains & Automobiles",[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'комедия'}]",7.5,7.6,1987,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/5942.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/5942.jpg,7
4982930,tt20723374,Звёздные войны: Сказания о джедаях,,Tales of the Jedi,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'фантастика'}, {'genre': 'боевик'}, {'genre': 'фэнтези'}, {'genre': 'мультфильм'}]",7.8,8.2,2022,TV_SERIES,https://kinopoiskapiunofficial.tech/images/posters/kp/4982930.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/4982930.jpg,8
1115117,tt8178634,RRR: Рядом ревёт революция,,RRR,[{'country': 'Индия'}],"[{'genre': 'драма'}, {'genre': 'боевик'}, {'genre': 'история'}]",8.0,7.8,2022,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1115117.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1115117.jpg,4
463354,tt1276104,Петля времени,,Looper,"[{'country': 'США'}, {'country': 'Китай'}]","[{'genre': 'триллер'}, {'genre': 'драма'}, {'genre': 'фантастика'}, {'genre': 'боевик'}]",7.0,7.4,2012,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/463354.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/463354.jpg,6
1316601,,Дом Дракона,,House of the Dragon,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'мелодрама'}, {'genre': 'боевик'}, {'genre': 'фэнтези'}]",8.1,8.5,2022,TV_SERIES,https://kinopoiskapiunofficial.tech/images/posters/kp/1316601.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1316601.jpg,7
4539260,,Против гигантов,,The Playlist,[{'country': 'Швеция'}],"[{'genre': 'драма'}, {'genre': 'биография'}, {'genre': 'музыка'}]",7.4,7.4,2022,MINI_SERIES,https://kinopoiskapiunofficial.tech/images/posters/kp/4539260.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/4539260.jpg,7
518184,tt1636844,Уилл,,Will,[{'country': 'Великобритания'}],"[{'genre': 'драма'}, {'genre': 'приключения'}, {'genre': 'семейный'}, {'genre': 'спорт'}]",7.7,6.8,2011,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/518184.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/518184.jpg,6
29577,tt0084649,Секрет Н.И.М.Х.,,The Secret of NIMH,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'детектив'}, {'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'фэнтези'}, {'genre': 'мультфильм'}, {'genre': 'семейный'}]",7.7,7.5,1982,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/29577.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/29577.jpg,7
49166,,Коралина в Стране Кошмаров,,Coraline,[{'country': 'США'}],"[{'genre': 'приключения'}, {'genre': 'фэнтези'}, {'genre': 'мультфильм'}, {'genre': 'семейный'}]",7.8,7.7,2008,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/49166.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/49166.jpg,8
581,tt0298203,8 миля,,8 Mile,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'музыка'}]",7.7,7.2,2002,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/581.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/581.jpg,8
1309570,tt10872600,Человек-паук: Нет пути домой,,Spider-Man: No Way Home,[{'country': 'США'}],"[{'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'боевик'}, {'genre': 'фэнтези'}]",7.9,8.2,2021,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1309570.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1309570.jpg,6
8161,tt0113497,Джуманджи,,Jumanji,[{'country': 'США'}],"[{'genre': 'приключения'}, {'genre': 'фэнтези'}, {'genre': 'комедия'}, {'genre': 'семейный'}]",7.9,7.1,1995,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/8161.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/8161.jpg,8
147969,tt0082562,Безумно влюблённый,,Innamorato pazzo,[{'country': 'Италия'}],"[{'genre': 'мелодрама'}, {'genre': 'комедия'}]",8.1,6.9,1981,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/147969.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/147969.jpg,8
432724,tt1323594,Гадкий я,,Despicable Me,"[{'country': 'США'}, {'country': 'Франция'}]","[{'genre': 'криминал'}, {'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'комедия'}, {'genre': 'мультфильм'}, {'genre': 'семейный'}]",7.8,7.6,2010,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/432724.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/432724.jpg,7
480,tt0056923,Шарада,,Charade,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'мелодрама'}, {'genre': 'детектив'}, {'genre': 'комедия'}]",7.9,7.9,1963,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/480.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/480.jpg,7
671,tt0181536,Найти Форрестера,,Finding Forrester,[{'country': 'США'}],[{'genre': 'драма'}],7.8,7.3,2000,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/671.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/671.jpg,7
1112513,,Властелин колец: Кольца власти,,The Lord of the Rings: The Rings of Power,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'приключения'}, {'genre': 'боевик'}, {'genre': 'фэнтези'}]",6.2,7.0,2022,TV_SERIES,https://kinopoiskapiunofficial.tech/images/posters/kp/1112513.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1112513.jpg,2
77540,tt0401729,Джон Картер,,John Carter,[{'country': 'США'}],"[{'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'боевик'}]",6.9,6.6,2012,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/77540.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/77540.jpg,6
703187,tt2356464,Восточный ветер,,Ostwind,[{'country': 'Германия'}],"[{'genre': 'драма'}, {'genre': 'приключения'}, {'genre': 'семейный'}]",8.2,6.7,2013,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/703187.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/703187.jpg,6
462662,tt1038919,Охотник за головами,,The Bounty Hunter,[{'country': 'США'}],"[{'genre': 'мелодрама'}, {'genre': 'детектив'}, {'genre': 'боевик'}, {'genre': 'комедия'}]",6.7,5.5,2010,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/462662.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/462662.jpg,6
3921,tt0095631,Успеть до полуночи,,Midnight Run,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'криминал'}, {'genre': 'приключения'}, {'genre': 'боевик'}, {'genre': 'комедия'}]",7.8,7.5,1988,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/3921.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/3921.jpg,7
414987,tt1231580,Элвин и бурундуки 2,,Alvin and the Chipmunks: The Squeakquel,[{'country': 'США'}],"[{'genre': 'комедия'}, {'genre': 'музыка'}, {'genre': 'семейный'}]",5.7,4.5,2009,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/414987.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/414987.jpg,3
278361,tt0952640,Элвин и бурундуки,,Alvin and the Chipmunks,[{'country': 'США'}],"[{'genre': 'комедия'}, {'genre': 'музыка'}, {'genre': 'семейный'}]",6.2,5.2,2007,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/278361.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/278361.jpg,4
1382211,tt12262116,13 жизней,,Thirteen Lives,"[{'country': 'США'}, {'country': 'Великобритания'}, {'country': 'Канада'}]","[{'genre': 'триллер'}, {'genre': 'драма'}, {'genre': 'биография'}]",7.7,7.8,2022,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1382211.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1382211.jpg,6
1368311,,Черный ящик,,Boîte noire,[{'country': 'Франция'}],"[{'genre': 'триллер'}, {'genre': 'детектив'}]",7.6,7.2,2020,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1368311.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1368311.jpg,7
1301509,tt10857160,Женщина-Халк: Адвокат,,She-Hulk: Attorney at Law,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'боевик'}, {'genre': 'комедия'}]",5.7,5.3,2022,TV_SERIES,https://kinopoiskapiunofficial.tech/images/posters/kp/1301509.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1301509.jpg,1
417583,tt0790724,Джек Ричер,,Jack Reacher,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'криминал'}, {'genre': 'детектив'}, {'genre': 'боевик'}]",7.2,7.0,2012,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/417583.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/417583.jpg,6
913703,tt4698684,Охота на дикарей,,Hunt for the Wilderpeople,[{'country': 'Новая Зеландия'}],"[{'genre': 'драма'}, {'genre': 'приключения'}, {'genre': 'комедия'}]",7.3,7.8,2016,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/913703.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/913703.jpg,7
12205,tt0088323,Бесконечная история,,Die unendliche Geschichte,[{'country': 'Германия (ФРГ)'}],"[{'genre': 'драма'}, {'genre': 'приключения'}, {'genre': 'фэнтези'}, {'genre': 'семейный'}]",7.9,7.3,1984,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/12205.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/12205.jpg,7
572032,tt1745960,Топ Ган: Мэверик,,Top Gun: Maverick,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'боевик'}]",7.7,8.3,2022,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/572032.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/572032.jpg,7
798110,tt3179568,"Мужчины, женщины и дети",,"Men, Women & Children",[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'комедия'}]",6.6,6.6,2014,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/798110.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/798110.jpg,6
311,tt0245803,Пуленепробиваемый,,Bulletproof Monk,"[{'country': 'США'}, {'country': 'Канада'}]","[{'genre': 'боевик'}, {'genre': 'фэнтези'}, {'genre': 'комедия'}]",6.7,5.4,2003,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/311.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/311.jpg,6
424,,Новый кинотеатр «Парадизо»,,Nuovo Cinema Paradiso,"[{'country': 'Франция'}, {'country': 'Италия'}]","[{'genre': 'драма'}, {'genre': 'мелодрама'}]",8.0,8.5,1988,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/424.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/424.jpg,8
86204,tt0438097,Ледниковый период 2: Глобальное потепление,,Ice Age: The Meltdown,"[{'country': 'США'}, {'country': 'Великобритания'}]","[{'genre': 'приключения'}, {'genre': 'комедия'}, {'genre': 'мультфильм'}, {'genre': 'семейный'}]",7.6,6.8,2006,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/86204.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/86204.jpg,7
668,tt0195714,Пункт назначения,,Final Destination,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'детектив'}, {'genre': 'фантастика'}, {'genre': 'ужасы'}]",7.5,6.7,2000,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/668.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/668.jpg,7
807,tt0215129,Дорожное приключение,,Road Trip,[{'country': 'США'}],[{'genre': 'комедия'}],7.1,6.5,2000,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/807.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/807.jpg,6
1392550,tt12593682,Быстрее пули,,Bullet Train,[{'country': 'США'}],"[{'genre': 'боевик'}, {'genre': 'комедия'}]",7.7,7.3,2022,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1392550.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1392550.jpg,7
498,tt0092005,Останься со мной,,Stand by Me,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'приключения'}]",7.8,8.1,1986,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/498.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/498.jpg,7
281779,tt0907657,Однажды,,Once,"[{'country': 'США'}, {'country': 'Ирландия'}]","[{'genre': 'драма'}, {'genre': 'мелодрама'}, {'genre': 'музыка'}]",7.7,7.8,2007,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/281779.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/281779.jpg,7
975292,tt5523010,Щелкунчик и четыре королевства,,The Nutcracker and the Four Realms,"[{'country': 'США'}, {'country': 'Канада'}]","[{'genre': 'приключения'}, {'genre': 'фэнтези'}, {'genre': 'семейный'}]",6.2,5.6,2018,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/975292.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/975292.jpg,4
6066,tt0097239,Шофер мисс Дэйзи,,Driving Miss Daisy,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'мелодрама'}, {'genre': 'комедия'}]",7.6,7.3,1989,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/6066.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/6066.jpg,7
881374,,Рок-н-рольщики,,Sing Street,"[{'country': 'Великобритания'}, {'country': 'Ирландия'}]","[{'genre': 'драма'}, {'genre': 'мелодрама'}, {'genre': 'комедия'}, {'genre': 'музыка'}]",7.8,7.9,2015,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/881374.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/881374.jpg,8
334,,"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"[{'country': 'США'}, {'country': 'Великобритания'}]","[{'genre': 'триллер'}, {'genre': 'фантастика'}, {'genre': 'комедия'}]",8.0,8.4,1963,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/334.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/334.jpg,8
383,tt0070735,Афера,,The Sting,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'криминал'}, {'genre': 'комедия'}]",8.1,8.3,1973,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/383.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/383.jpg,8
160933,tt0464049,Любители истории,,The History Boys,[{'country': 'Великобритания'}],"[{'genre': 'драма'}, {'genre': 'мелодрама'}, {'genre': 'комедия'}]",7.1,6.8,2006,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/160933.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/160933.jpg,6
5011,tt0120647,Столкновение с бездной,,Deep Impact,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'драма'}, {'genre': 'фантастика'}, {'genre': 'боевик'}]",7.1,6.2,1998,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/5011.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/5011.jpg,6
2043,tt0304415,Улыбка Моны Лизы,,Mona Lisa Smile,[{'country': 'США'}],[{'genre': 'драма'}],7.7,6.5,2003,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/2043.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/2043.jpg,7
465674,tt1436562,Рио,,Rio,"[{'country': 'США'}, {'country': 'Великобритания'}]","[{'genre': 'приключения'}, {'genre': 'комедия'}, {'genre': 'музыка'}, {'genre': 'мультфильм'}, {'genre': 'семейный'}, {'genre': 'мюзикл'}]",7.5,6.9,2011,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/465674.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/465674.jpg,7
395781,,Парк культуры и отдыха,,Adventureland,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'мелодрама'}, {'genre': 'комедия'}]",6.7,6.8,2008,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/395781.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/395781.jpg,7
677437,tt2357291,Рио 2,,Rio 2,[{'country': 'США'}],"[{'genre': 'приключения'}, {'genre': 'комедия'}, {'genre': 'музыка'}, {'genre': 'мультфильм'}, {'genre': 'семейный'}, {'genre': 'мюзикл'}]",6.7,6.3,2014,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/677437.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/677437.jpg,6
164089,tt0449059,Маленькая мисс Счастье,,Little Miss Sunshine,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'комедия'}]",7.5,7.8,2006,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/164089.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/164089.jpg,7
596362,tt1972779,Лучшее во мне,,The Best of Me,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'мелодрама'}]",7.2,6.7,2014,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/596362.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/596362.jpg,6
6540,tt0283530,Императорский клуб,,The Emperor's Club,[{'country': 'США'}],[{'genre': 'драма'}],7.5,6.9,2002,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/6540.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/6540.jpg,7
8669,tt0106364,Бэтмен: Маска Фантазма,,Batman: Mask of the Phantasm,[{'country': 'США'}],"[{'genre': 'криминал'}, {'genre': 'детектив'}, {'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'боевик'}, {'genre': 'мультфильм'}, {'genre': 'семейный'}]",7.4,7.8,1993,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/8669.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/8669.jpg,7
1886,tt0112579,Мосты округа Мэдисон,,The Bridges of Madison County,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'мелодрама'}]",8.0,7.6,1995,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1886.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1886.jpg,7
915196,tt4574334,Очень странные дела,,Stranger Things,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'драма'}, {'genre': 'детектив'}, {'genre': 'фантастика'}, {'genre': 'фэнтези'}, {'genre': 'ужасы'}]",8.4,8.7,2016,TV_SERIES,https://kinopoiskapiunofficial.tech/images/posters/kp/915196.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/915196.jpg,7
3468,tt0268397,Джимми Нейтрон: Мальчик-гений,,Jimmy Neutron: Boy Genius,"[{'country': 'США'}, {'country': 'Австралия'}]","[{'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'боевик'}, {'genre': 'комедия'}, {'genre': 'мультфильм'}, {'genre': 'семейный'}]",6.0,6.1,2001,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/3468.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/3468.jpg,7
8227,tt0048280,Леди и бродяга,,Lady and the Tramp,[{'country': 'США'}],"[{'genre': 'мелодрама'}, {'genre': 'приключения'}, {'genre': 'комедия'}, {'genre': 'мультфильм'}, {'genre': 'семейный'}, {'genre': 'мюзикл'}]",8.2,7.3,1955,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/8227.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/8227.jpg,8
573239,tt1778304,Паранормальное явление 3,,Paranormal Activity 3,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'ужасы'}]",5.9,5.8,2011,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/573239.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/573239.jpg,5
569977,tt1728179,Паранормальное явление: Ночь в Токио,,Paranômaru akutibiti: Dai-2-shô - Tokyo Night,[{'country': 'Япония'}],"[{'genre': 'детектив'}, {'genre': 'ужасы'}]",5.6,5.1,2010,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/569977.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/569977.jpg,6
481706,tt1536044,Паранормальное явление 2,,Paranormal Activity 2,[{'country': 'США'}],"[{'genre': 'детектив'}, {'genre': 'ужасы'}]",5.9,5.7,2010,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/481706.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/481706.jpg,6
1437989,tt8009428,Прорваться в НБА,,Hustle,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'комедия'}, {'genre': 'спорт'}]",7.5,7.3,2022,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1437989.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1437989.jpg,6
4382259,tt14039582,Сядь за руль моей машины,,Doraibu mai ka,[{'country': 'Япония'}],[{'genre': 'драма'}],7.3,7.6,2021,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/4382259.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/4382259.jpg,7
11911,tt0204313,Изгоняющий дьявола: Начало,,Exorcist: The Beginning,"[{'country': 'США'}, {'country': 'Франция'}, {'country': 'Великобритания'}, {'country': 'Италия'}, {'country': 'Пакистан'}]","[{'genre': 'триллер'}, {'genre': 'детектив'}, {'genre': 'ужасы'}]",5.6,5.1,2004,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/11911.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/11911.jpg,6
633,tt0160127,Ангелы Чарли,,Charlie's Angels,"[{'country': 'США'}, {'country': 'Германия'}]","[{'genre': 'триллер'}, {'genre': 'криминал'}, {'genre': 'приключения'}, {'genre': 'боевик'}, {'genre': 'комедия'}]",6.6,5.6,2000,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/633.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/633.jpg,6
4290977,tt13668894,Книга Бобы Фетта,,The Book of Boba Fett,[{'country': 'США'}],"[{'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'боевик'}]",7.1,7.2,2021,TV_SERIES,https://kinopoiskapiunofficial.tech/images/posters/kp/4290977.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/4290977.jpg,4
1160046,tt8466564,Оби-Ван Кеноби,,Obi-Wan Kenobi,[{'country': 'США'}],"[{'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'боевик'}]",6.2,7.1,2022,MINI_SERIES,https://kinopoiskapiunofficial.tech/images/posters/kp/1160046.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1160046.jpg,3
57004,tt0074720,Игрушка,,Le jouet,[{'country': 'Франция'}],"[{'genre': 'драма'}, {'genre': 'комедия'}]",8.0,7.4,1976,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/57004.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/57004.jpg,7
610,tt0249462,Билли Эллиот,,Billy Elliot,"[{'country': 'Франция'}, {'country': 'Великобритания'}]","[{'genre': 'драма'}, {'genre': 'музыка'}]",8.0,7.7,2000,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/610.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/610.jpg,7
467,tt0140352,Свой человек,,The Insider,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'драма'}, {'genre': 'биография'}]",7.6,7.8,1999,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/467.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/467.jpg,7
126196,tt0405094,Жизнь других,,Das Leben der Anderen,"[{'country': 'Франция'}, {'country': 'Германия'}]","[{'genre': 'триллер'}, {'genre': 'драма'}, {'genre': 'детектив'}]",8.1,8.4,2006,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/126196.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/126196.jpg,7
